date,category,description,amount
2026-06-01,Food & Drinks,Traditional rice cake breakfast,15000
2026-06-02,Transportation,Grab ride to office,25000
2026-06-02,Food & Drinks,Lunch at local eatery,18000
2026-06-02,Entertainment,Netflix subscription,65000
2026-06-03,Food & Drinks,Coffee at a cafe,35000
2026-06-03,Transportation,Commuter train fare,14000
2026-06-04,Bills & Utilities,Monthly electricity bill,280000
2026-06-05,Food & Drinks,Family dinner,120000
2026-06-06,Clothing,Clothes shopping at Uniqlo,350000
2026-06-07,Healthcare,Vitamins and supplements,85000
2026-06-08,Food & Drinks,GoFood delivery order,55000
2026-06-09,Transportation,Motorcycle fuel,70000
2026-06-10,Education,Online course fee,150000
2026-06-11,Food & Drinks,Snacks and beverages,45000
2026-06-12,Entertainment,Movie ticket,80000
2026-06-13,Bills & Utilities,Mobile credit and data plan,100000
2026-06-14,Food & Drinks,Lunch at cafeteria,20000
2026-06-14,Healthcare,Pharmacy medication purchase,60000
